iter	Passed	Remaining
181	29146	130997
182	29312	130865
183	29504	130844
184	29665	130688
185	29843	130604
186	30041	130609
187	30227	130557
188	30360	130276
189	30532	130163
190	30721	130123
191	30895	130018
192	31047	129819
193	31188	129574
194	31321	129299
195	31460	129051
196	31637	128960
197	31817	128878
198	31998	128797
199	32153	128613
200	32299	128393
201	32477	128301
202	32635	128131
203	32806	128007
204	32917	127654
205	33078	127496
206	33191	127153
207	33333	126924
208	33445	126581
209	33597	126388
210	33744	126182
211	33890	125969
212	34061	125850
213	34241	125764
214	34434	125726
215	34567	125468
216	34715	125263
217	34876	125108
218	35033	124937
219	35177	124720
220	35344	124585
221	35478	124332
222	35621	124117
223	35737	123804
224	35901	123662
225	36037	123422
226	36206	123293
227	36351	123085
228	36502	122896
229	36653	122709
230	36787	122464
231	36921	122223
232	37085	122080
233	37265	121988
234	37419	121811
235	37604	121736
236	37735	121487
237	37881	121285
238	38043	121134
239	38164	120854
240	38308	120648
241	38448	120430
242	38565	120141
243	38685	119862
244	38816	119619
245	38935	119339
246	39087	119160
247	39205	118880
248	39358	118706
249	39486	118458
250	39641	118291
251	39754	118001
252	39897	117799
253	40028	117562
254	40146	117290
255	40303	117132
256	40451	116947
257	40572	116684
258	40703	116452
259	40831	116211
260	41023	116155
261	41209	116078
262	41320	115792
263	41436	115519
264	41598	115377
265	41708	115091
266	41819	114806
267	42007	114736
268	42146	114532
269	42338	114470
270	42451	114195
271	42580	113965
272	42702	113717
273	42824	113468
274	42965	113272
275	43089	113032
276	43242	112867
277	43367	112630
278	43493	112396
279	43596	112105
280	43710	111843
281	43855	111660
282	43968	111398
283	44116	111222
284	44242	110993
285	44372	110775
286	44496	110542
287	44633	110345
288	44775	110158
289	44893	109911
290	45022	109694
291	45213	109626
292	45392	109531
293	45567	109423
294	45698	109211
295	45818	108974
296	45943	108747
297	46131	108671
298	46311	108576
299	46508	108519
300	46623	108270
301	46740	108029
302	46844	107757
303	46963	107520
304	47089	107302
305	47204	107059
306	47326	106830
307	47437	106580
308	47560	106356
309	47674	106115
310	47783	105860
311	47901	105629
312	48025	105411
313	48155	105206
314	48267	104962
315	48377	104716
316	48493	104483
317	48609	104250
318	48744	104059
319	48849	103805
320	48988	103623
321	49128	103445
322	49243	103212
323	49355	102976
324	49505	102818
325	49638	102627
326	49755	102402
327	49859	102150
328	49978	101931
329	50090	101698
330	50222	101506
331	50329	101264
332	50470	101092
333	50603	100903
334	50714	100672
335	50845	100479
336	50964	100265
337	51102	100087
338	51214	99861
339	51350	99679
340	51459	99448
341	51589	99256
342	51725	99078
343	51854	98884
344	51975	98677
345	52100	98478
346	52213	98258
347	52344	98071
348	52473	97880
349	52607	97699
350	52738	97513
351	52868	97325
352	53010	97160
353	53133	96961
354	53259	96766
355	53393	96588
356	53500	96360
357	53638	96188
358	53750	95971
359	53881	95789
360	54021	95622
361	54135	95409
362	54263	95223
363	54409	95066
364	54541	94887
365	54674	94708
366	54785	94493
367	54898	94281
368	55041	94123
369	55170	93939
370	55301	93759
371	55432	93578
372	55542	93365
373	55678	93195
374	55805	93009
375	55920	92804
376	56041	92610
377	56154	92401
378	56268	92197
379	56391	92006
380	56520	91827
381	56638	91630
382	56750	91422
383	56863	91218
384	57003	91057
385	57117	90855
386	57251	90685
387	57395	90530
388	57505	90324
389	57619	90123
390	57733	89921
391	57862	89745
392	57987	89563
393	58093	89352
394	58222	89176
395	58333	88972
396	58445	88771
397	58562	88580
398	58693	88408
399	58806	88209
400	58920	88012
401	59043	87830
402	59146	87618
403	59262	87427
404	59374	87229
405	59503	87056
406	59625	86875
407	59741	86683
408	59846	86476
409	59982	86315
410	60094	86121
411	60211	85933
412	60323	85738
413	60477	85603
414	60594	85416
415	60706	85223
416	60819	85030
417	60931	84837
418	61041	84642
419	61165	84466
420	61273	84269
421	61396	84092
422	61502	83893
423	61642	83740
424	61745	83538
425	61872	83367
426	61989	83184
427	62096	82988
428	62223	82819
429	62349	82649
430	62479	82484
431	62600	82308
432	62732	82146
433	62849	81964
434	62974	81794
435	63085	81606
436	63212	81438
437	63334	81265
438	63458	81094
439	63573	80912
440	63690	80731
441	63805	80550
442	63922	80372
443	64050	80207
444	64161	80021
445	64277	79842
446	64381	79649
447	64490	79462
448	64610	79287
449	64723	79106
450	64837	78925
451	64963	78760
452	65074	78578
453	65182	78390
454	65296	78212
455	65411	78035
456	65525	77856
457	65639	77678
458	65753	77500
459	65860	77314
460	65980	77144
461	66093	76965
462	66205	76786
463	66319	76610
464	66434	76435
465	66548	76259
466	66662	76083
467	66778	75910
468	66887	75730
469	67006	75561
470	67124	75389
471	67236	75214
472	67350	75039
473	67462	74862
474	67576	74690
475	67681	74506
476	67802	74341
477	67907	74158
478	68024	73988
479	68132	73809
480	68237	73628
481	68348	73453
482	68459	73278
483	68564	73098
484	68684	72933
485	68798	72762
486	68904	72583
487	69036	72431
488	69147	72258
489	69258	72085
490	69372	71915
491	69504	71764
492	69619	71596
493	69739	71433
494	69850	71261
495	69967	71096
496	70090	70936
497	70202	70766
498	70306	70588
499	70420	70420
500	70544	70263
501	70666	70103
502	70781	69937
503	70898	69773
504	71029	69622
505	71144	69457
506	71259	69291
507	71391	69142
508	71500	68971
509	71606	68798
510	71725	68637
511	71833	68466
512	71945	68299
513	72065	68139
514	72171	67967
515	72289	67806
516	72393	67632
517	72501	67462
518	72621	67303
519	72735	67140
520	72842	66970
521	72975	66823
522	73080	66652
523	73192	66488
524	73307	66325
525	73421	66163
526	73526	65992
527	73644	65833
528	73762	65675
529	73876	65513
530	74006	65365
531	74133	65214
532	74247	65053
533	74383	64911
534	74498	64750
535	74620	64596
536	74725	64428
537	74849	64276
538	74975	64125
539	75097	63971
540	75201	63802
541	75320	63647
542	75424	63478
543	75542	63322
544	75652	63159
545	75769	63002
546	75882	62842
547	76007	62692
548	76109	62523
549	76220	62362
550	76333	62202
551	76470	62062
552	76607	61922
553	76723	61766
554	76842	61612
555	76992	61483
556	77117	61334
557	77245	61187
558	77360	61030
559	77479	60876
560	77594	60720
561	77726	60576
562	77924	60484
563	78062	60346
564	78240	60238
565	78407	60121
566	78601	60025
567	78734	59882
568	78924	59783
569	79062	59643
570	79238	59532
571	79425	59430
572	79604	59321
573	79794	59220
574	79982	59117
575	80131	58985
576	80332	58891
577	80506	58778
578	80669	58655
579	80810	58518
580	81007	58420
581	81151	58284
582	81288	58142
583	81455	58023
584	81600	57887
585	81757	57760
586	81961	57666
587	82101	57526
588	82264	57403
589	82459	57302
590	82618	57175
591	82806	57069
592	82966	56943
593	83092	56793
594	83249	56665
595	83361	56506
596	83500	56366
597	83669	56246
598	83836	56124
599	83979	55986
600	84121	55847
601	84297	55731
602	84469	55612
603	84660	55505
604	84817	55376
605	84977	55249
606	85106	55102
607	85258	54969
608	85392	54824
609	85570	54709
610	85752	54595
611	85920	54472
612	86105	54360
613	86240	54216
614	86373	54071
615	86551	53953
616	86696	53816
617	86820	53666
618	86957	53523
619	87103	53385
620	87249	53248
621	87375	53099
622	87496	52947
623	87618	52795
624	87740	52644
625	87867	52495
626	88007	52355
627	88134	52206
628	88240	52046
629	88370	51900
630	88502	51755
631	88627	51605
632	88751	51456
633	88876	51307
634	89036	51178
635	89173	51036
636	89309	50894
637	89457	50758
638	89624	50633
639	89771	50496
640	89924	50363
641	90046	50212
642	90164	50060
643	90277	49905
644	90407	49758
645	90518	49602
646	90627	49446
647	90759	49301
648	90864	49142
649	90993	48996
650	91128	48853
651	91275	48717
652	91409	48574
653	91532	48425
654	91660	48279
655	91779	48128
656	91971	48015
657	92147	47894
658	92266	47743
659	92395	47597
660	92568	47474
661	92696	47328
662	92828	47184
663	93010	47065
664	93159	46929
665	93310	46795
666	93448	46654
667	93576	46508
668	93727	46373
669	93871	46235
670	94017	46097
671	94183	45970
672	94376	45856
673	94557	45735
674	94708	45600
675	94882	45476
676	95044	45346
677	95217	45221
678	95355	45079
679	95530	44955
680	95711	44833
681	95887	44709
682	96045	44577
683	96173	44431
684	96315	44290
685	96460	44152
686	96617	44019
687	96753	43876
688	96945	43759
689	97085	43618
690	97268	43496
691	97396	43349
692	97509	43196
693	97641	43052
694	97784	42912
695	97928	42773
696	98070	42633
697	98250	42509
698	98381	42364
699	98519	42222
700	98689	42094
701	98824	41951
702	98976	41815
703	99128	41678
704	99273	41539
705	99425	41403
706	99590	41273
707	99752	41141
708	99919	41010
709	100057	40868
710	100239	40744
711	100379	40602
712	100596	40492
713	100780	40368
714	100934	40232
715	101063	40086
716	101245	39961
717	101405	39827
718	101544	39685
719	101688	39545
720	101823	39401
721	102002	39275
722	102178	39147
723	102347	39016
724	102513	38884
725	102676	38751
726	102854	38623
727	103035	38496
728	103180	38356
729	103317	38213
730	103484	38081
731	103617	37936
732	103787	37805
733	103942	37668
734	104101	37533
735	104238	37389
736	104384	37249
737	104528	37109
738	104681	36971
739	104836	36834
740	105033	36712
741	105161	36565
742	105288	36418
743	105416	36272
744	105547	36127
745	105673	35979
746	105804	35834
747	105940	35691
748	106071	35546
749	106194	35398
750	106323	35252
751	106455	35107
752	106584	34962
753	106712	34816
754	106841	34670
755	107004	34535
756	107136	34391
757	107260	34243
758	107391	34099
759	107517	33952
760	107647	33807
761	107776	33662
762	107921	33522
763	108050	33376
764	108181	33232
765	108304	33085
766	108486	32956
767	108630	32815
768	108783	32677
769	108927	32536
770	109082	32399
771	109213	32254
772	109412	32130
773	109560	31990
774	109711	31851
775	109842	31707
776	110005	31571
777	110172	31437
778	110312	31295
779	110444	31151
780	110649	31027
781	110765	30878
782	110918	30739
783	111106	30610
784	111233	30465
785	111370	30322
786	111504	30178
787	111699	30051
788	111833	29907
789	111999	29772
790	112137	29629
791	112271	29485
792	112415	29344
793	112572	29206
794	112729	29068
795	112871	28926
796	113012	28784
797	113150	28642
798	113295	28501
799	113430	28357
800	113568	28214
801	113713	28073
802	113877	27937
803	114054	27804
804	114205	27664
805	114397	27534
806	114584	27403
807	114716	27259
808	114897	27126
809	115088	26996
810	115268	26862
811	115414	26721
812	115583	26585
813	115719	26441
814	115865	26300
815	115999	26156
816	116142	26014
817	116284	25872
818	116399	25724
819	116533	25580
820	116677	25438
821	116822	25297
822	116985	25159
823	117104	25012
824	117240	24869
825	117377	24725
826	117510	24582
827	117653	24440
828	117794	24297
829	117945	24157
830	118093	24016
831	118241	23875
832	118386	23734
833	118535	23593
834	118680	23451
835	118825	23310
836	118990	23172
837	119132	23030
838	119266	22886
839	119405	22743
840	119551	22602
841	119694	22460
842	119826	22316
843	119976	22175
844	120114	22032
845	120232	21886
846	120354	21740
847	120484	21596
848	120630	21454
849	120750	21308
850	120906	21169
851	121031	21024
852	121199	20886
853	121335	20743
854	121524	20609
855	121644	20463
856	121834	20329
857	121964	20185
858	122142	20048
859	122307	19910
860	122435	19765
861	122578	19623
862	122748	19486
863	122888	19343
864	123020	19199
865	123136	19053
866	123266	18909
867	123436	18771
868	123551	18625
869	123697	18483
870	123859	18344
871	124005	18202
872	124155	18061
873	124286	17917
874	124469	17781
875	124661	17646
876	124869	17513
877	125045	17375
878	125234	17239
879	125396	17099
880	125669	16974
881	125883	16841
882	126100	16708
883	126290	16572
884	126452	16431
885	126613	16291
886	126797	16153
887	126953	16012
888	127089	15868
889	127221	15724
890	127402	15585
891	127609	15450
892	127791	15312
893	128003	15177
894	128160	15035
895	128364	14899
896	128534	14759
897	128667	14614
898	128858	14476
899	128978	14330
900	129104	14185
901	129271	14045
902	129489	13909
903	129634	13766
904	129782	13623
905	129955	13483
906	130084	13338
907	130225	13194
908	130409	13055
909	130580	12914
910	130712	12769
911	130904	12631
912	131150	12497
913	131334	12357
914	131518	12217
915	131680	12075
916	131834	11932
917	132009	11791
918	132202	11652
919	132346	11508
920	132494	11364
921	132641	11221
922	132788	11077
923	132959	10936
924	133200	10800
925	133411	10661
926	133563	10517
927	133696	10372
928	133834	10228
929	133994	10085
930	134151	9942
931	134303	9798
932	134477	9656
933	134621	9512
934	134778	9369
935	134930	9226
936	135062	9081
937	135185	8935
938	135315	8790
939	135442	8645
940	135604	8502
941	135725	8356
942	135836	8210
943	135977	8066
944	136108	7921
945	136277	7779
946	136445	7636
947	136598	7492
948	136729	7347
949	136994	7210
950	137226	7070
951	137484	6932
952	137733	6792
953	137965	6652
954	138177	6510
955	138395	6369
956	138566	6226
957	138862	6087
958	139116	5947
959	139250	5802
960	139459	5659
961	139669	5517
962	139978	5378
963	140159	5234
964	140375	5091
965	140584	4948
966	140790	4804
967	140994	4660
968	141212	4517
969	141368	4372
970	141544	4227
971	141718	4082
972	141917	3938
973	142059	3792
974	142211	3646
975	142358	3500
976	142501	3354
977	142653	3208
978	142803	3063
979	142998	2918
980	143182	2773
981	143373	2628
982	143568	2482
983	143762	2337
984	143936	2191
985	144101	2046
986	144255	1900
987	144409	1753
988	144588	1608
989	144739	1462
990	144924	1316
991	145097	1170
992	145217	1023
993	145377	877
994	145531	731
995	145712	585
996	145886	438
997	146042	292
998	146201	146
999	146384	0
