iter	Logloss
0	0.5793174894
1	0.4439538688
2	0.334718738
3	0.2521525076
4	0.1960108313
5	0.1436848175
6	0.1099309355
7	0.08546284986
8	0.06723870727
9	0.05200366588
10	0.04163121373
11	0.03367081346
12	0.02748770462
13	0.02339126528
14	0.01900095661
15	0.01647734253
16	0.01387836689
17	0.01162235256
18	0.009823762543
19	0.009144115695
20	0.008137097369
21	0.006971453316
22	0.006690670646
23	0.00583667142
24	0.005246483811
25	0.005190116615
26	0.004900340741
27	0.004595115053
28	0.004588643583
29	0.004574575915
30	0.004566772944
31	0.00446527869
32	0.004364262011
33	0.004357198423
34	0.004249506379
35	0.004114349996
36	0.003937414797
37	0.003867302279
38	0.003791964532
39	0.003574565071
40	0.003519297484
41	0.0034084725
42	0.00336644757
43	0.003297048198
44	0.003231527384
45	0.003106505202
46	0.003008456509
47	0.002961743415
48	0.002868072675
49	0.002791796612
50	0.002659285878
51	0.002629828694
52	0.002584001955
53	0.002441781574
54	0.002388852613
55	0.002213129306
56	0.002161611818
57	0.002130225245
58	0.002110322788
59	0.002096563979
60	0.00202931873
61	0.00201941056
62	0.001986546524
63	0.001849887333
64	0.001807379666
65	0.001713114391
66	0.001595365964
67	0.001586944769
68	0.001559777753
69	0.001480563199
70	0.001473882758
71	0.001467328696
72	0.001395746341
73	0.00139023288
74	0.001378358398
75	0.001356279705
76	0.001286459701
77	0.001285555636
78	0.001198605589
79	0.001193733352
80	0.001159243535
81	0.001118856874
82	0.00111697487
83	0.001105234787
84	0.001077227273
85	0.00107512062
86	0.001066829033
87	0.001061353719
88	0.001036739812
89	0.001032263996
90	0.001031948979
91	0.001012666431
92	0.001012142025
93	0.001011377159
94	0.001009350518
95	0.001008933743
96	0.001006616652
97	0.0009917660023
98	0.0009857874491
99	0.0009834910741
100	0.0009830391721
101	0.0009820920986
102	0.0009816821454
103	0.0009753838464
104	0.0009623115477
105	0.0009602057785
106	0.0009502697033
107	0.0009302678058
108	0.0009282855471
109	0.0009275884258
110	0.0009271713489
111	0.0009263694266
112	0.0009241003564
113	0.0008779045557
114	0.0008697106867
115	0.0008686106119
116	0.0008676965274
117	0.0008655165848
118	0.000864682112
119	0.0008635152853
120	0.0008630521412
121	0.0008625940952
122	0.0008621627002
123	0.0008528932018
124	0.0008516668432
125	0.0008510193471
126	0.0008506912443
127	0.0008494772462
128	0.0008488462721
129	0.0008481280654
130	0.0008472891635
131	0.0008470590703
132	0.0008459894434
133	0.0008446979813
134	0.0008431008301
